id,date,excercise_list,workout_fun_factor,duration,cal_burnt,mood,activeness
1,2020-02-03,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,1,71,,2,1
2,2020-03-25,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,1,41,,0,2
3,2020-03-05,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,112,,2,1
4,2020-06-24,pull_up lat_pulldown push_up dumbbell_row push_press,0,32,,2,2
5,2020-02-19,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,4,46,,1,1
6,2020-01-24,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,1,72,,0,1
7,2020-08-14,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,4,75,,1,1
8,2020-10-15,yoga,2,73,,2,2
9,2020-08-10,dumbbell_fly ,3,71,,2,0
10,2020-05-17,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,1,51,,2,1
11,2020-05-22,yoga,1,69,,1,0
12,2020-07-03,crunches plank russian_twist side_plank bird_dog burpee,1,41,,0,1
13,2020-09-13,dumbbell_row farmers_walk battle_ropes push_press,3,48,,1,1
14,2020-08-19,crunches plank russian_twist side_plank bird_dog burpee,2,54,,0,2
15,2020-02-15,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,5,86,,0,2
16,2020-12-10,yoga,4,113,,2,1
17,2020-08-08,yoga,1,48,,1,2
18,2020-01-06,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,115,,0,1
19,2020-03-17,bicep_curl pull_up lat_pulldown dumbbell_row push_press,0,118,,2,1
20,2020-02-27,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,1,42,,0,1
21,2020-05-02,pull_up lat_pulldown push_up dumbbell_row push_press,4,100,,1,1
22,2020-06-01,yoga,0,39,,2,1
23,2020-07-06,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,2,103,,0,0
24,2020-12-30,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,3,110,,0,1
25,2020-05-14,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,2,87,,2,0
26,2020-12-26,yoga,3,87,,0,1
27,2020-10-11,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,5,50,,0,2
28,2020-06-10,dumbbell_row farmers_walk battle_ropes push_press,2,62,,2,2
29,2020-10-08,dumbbell_fly ,2,88,,2,0
30,2020-02-12,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,0,98,,0,0
31,2020-06-27,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,1,73,,0,2
32,2020-06-28,yoga,5,82,,0,2
33,2020-07-07,pull_up lat_pulldown push_up dumbbell_row push_press,1,60,,1,0
34,2020-06-04,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,3,62,,1,1
35,2020-07-03,deadlift superman lat_pulldown pull_up ,0,73,,2,2
36,2020-08-27,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,48,,2,2
37,2020-03-20,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,5,69,,1,0
38,2020-10-01,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,0,39,,1,2
39,2020-06-21,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,1,100,,1,0
40,2020-11-26,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,2,49,,2,0
41,2020-09-03,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,0,33,,0,0
42,2020-07-14,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,5,50,,0,1
43,2020-06-30,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,2,103,,0,0
44,2020-02-16,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,4,108,,0,2
45,2020-04-26,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,4,103,,1,2
46,2020-03-31,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,2,82,,0,1
47,2020-04-12,crunches plank russian_twist side_plank bird_dog burpee,2,34,,1,2
48,2020-02-21,deadlift superman lat_pulldown pull_up ,5,68,,2,0
49,2020-01-28,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,0,53,,0,0
50,2020-01-31,pull_up lat_pulldown push_up dumbbell_row push_press,5,67,,1,2
51,2020-02-04,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3,65,,2,1
52,2020-07-11,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,1,91,,2,0
53,2020-06-14,crunches plank russian_twist side_plank bird_dog burpee,4,48,,0,1
54,2020-12-28,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,2,50,,2,0
55,2020-05-05,dumbbell_row farmers_walk battle_ropes push_press,0,86,,2,0
56,2020-06-23,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,3,36,,2,0
57,2020-12-05,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,4,120,,2,0
58,2020-01-09,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,5,34,,2,2
59,2020-08-31,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,1,92,,0,1
60,2020-07-24,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3,74,,2,0
61,2020-06-03,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2,60,,2,0
