id,name,exercise_importance,exercise_cost,exercise_recurrance_factor_per_cycle,exercise_rpe,exercise_overall_fun_factor,exercise_exhaustion_factor,missed_in_cycle_count
1,bicep_curl,,,,,,,
2,burpee,,,,,,,
3,deadlift,,,,,,,
4,squat,,,,,,,
5,bench_press,,,,,,,
6,push_up,,,,,,,
7,pull_up,,,,,,,
8,lat_pulldown,,,,,,,
9,leg_press,,,,,,,
10,leg_extension,,,,,,,
11,leg_curl,,,,,,,
12,lunge,,,,,,,
13,dumbbell_row,,,,,,,
14,dumbbell_fly,,,,,,,
15,tricep_extension,,,,,,,
16,shoulder_press,,,,,,,
17,crunches,,,,,,,
18,plank,,,,,,,
19,russian_twist,,,,,,,
20,plank,,,,,,,
21,superman,,,,,,,
22,bird_dog,,,,,,,
23,squat_jump,,,,,,,
24,jumping_jacks,,,,,,,
25,high_knees,,,,,,,
26,jump_rope,,,,,,,
27,mountain_climbers,,,,,,,
28,running,,,,,,,
29,cycling,,,,,,,
30,swimming,,,,,,,
31,yoga,,,,,,,
32,pilates,,,,,,,
33,tai_chi,,,,,,,
34,foam_rolling,,,,,,,
35,stair_climbing,,,,,,,
36,rowing_machine,,,,,,,
37,battle_ropes,,,,,,,
38,box_jumps,,,,,,,
39,farmers_walk,,,,,,,
40,tire_flips,,,,,,,
41,kettlebell_swing,,,,,,,
42,bulgarian_split_squat,,,,,,,
43,lateral_lunges,,,,,,,
44,push_press,,,,,,,
45,tricep_dips,,,,,,,
46,side_plank,,,,,,,
47,medicine_ball_slam,,,,,,,
48,wall_balls,,,,,,,
49,elliptical,,,,,,,
50,box_jumps,,,,,,,
