id,date,excercise_list,workout_fun_factor,duration,cals_burnt,mood,activeness
1,20100101,"[7, 8, 6, 13, 44, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,354.0,1.0,1.0
2,20100102,"[30, 26, 49, 24, 29, 23, 28, 25, 0, 0, 0, 0]",5.0,110.0,1134.375,1.0,2.0
3,20100103,"[50, 48, 43, 42, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,70.0,507.5,2.0,2.0
4,20100104,"[1, 7, 8, 13, 47, 7, 13, 39, 37, 0, 0, 0]",2.0,60.0,366.66666666666674,0.0,1.0
5,20100105,"[1, 7, 8, 13, 44, 0, 0, 0, 0, 0, 0, 0]",3.0,40.0,204.0,2.0,0.0
6,20100106,"[24, 32, 37, 26, 15, 45, 24, 22, 0, 0, 0, 0]",4.0,140.0,945.0,2.0,1.0
7,20100107,"[32, 37, 44, 15, 45, 5, 6, 0, 0, 0, 0, 0]",5.0,90.0,533.5714285714287,1.0,2.0
8,20100108,"[22, 13, 37, 39, 44, 16, 5, 0, 0, 0, 0, 0]",2.0,35.0,197.5,0.0,0.0
9,20100109,"[24, 32, 37, 26, 15, 45, 0, 0, 0, 0, 0, 0]",4.0,150.0,1025.0,2.0,0.0
10,20100110,"[47, 7, 13, 39, 37, 31, 0, 0, 0, 0, 0, 0]",3.0,90.0,577.5,2.0,1.0
11,20100111,"[50, 48, 43, 42, 41, 4, 9, 43, 10, 11, 12, 23]",3.0,120.0,850.0,1.0,1.0
12,20100112,"[16, 5, 6, 34, 47, 0, 0, 0, 0, 0, 0, 0]",5.0,70.0,434.0,1.0,2.0
13,20100113,"[3, 21, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,60.0,360.0,2.0,2.0
14,20100114,"[27, 50, 2, 29, 23, 28, 25, 0, 0, 0, 0, 0]",4.0,110.0,1123.5714285714284,0.0,2.0
15,20100115,"[16, 5, 6, 39, 37, 44, 32, 26, 0, 0, 0, 0]",5.0,150.0,984.375,1.0,1.0
16,20100116,"[13, 39, 37, 44, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,270.0,2.0,2.0
17,20100117,"[31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,45.0,180.0,2.0,2.0
18,20100118,"[50, 48, 43, 42, 40, 35, 27, 25, 23, 2, 36, 0]",3.0,100.0,936.3636363636364,0.0,0.0
19,20100119,"[17, 20, 19, 46, 22, 2, 0, 0, 0, 0, 0, 0]",1.0,35.0,163.33333333333331,1.0,1.0
20,20100120,"[34, 33, 47, 32, 1, 0, 0, 0, 0, 0, 0, 0]",2.0,120.0,528.0,0.0,2.0
21,20100121,"[24, 32, 37, 26, 15, 45, 0, 0, 0, 0, 0, 0]",4.0,100.0,683.3333333333333,2.0,1.0
22,20100122,"[50, 48, 43, 42, 41, 4, 10, 11, 12, 23, 0, 0]",4.0,120.0,801.8181818181819,0.0,2.0
23,20100123,"[49, 24, 29, 23, 28, 25, 35, 27, 0, 0, 0, 0]",3.0,80.0,820.0,1.0,1.0
24,20100124,"[22, 13, 39, 37, 44, 16, 5, 6, 0, 0, 0, 0]",2.0,45.0,267.1875,0.0,0.0
25,20100125,"[20, 19, 46, 41, 4, 10, 11, 12, 23, 0, 0, 0]",1.0,60.0,321.0,2.0,2.0
26,20100126,"[31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,240.0,1.0,1.0
27,20100127,"[3, 21, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,75.0,450.0,2.0,2.0
28,20100128,"[1, 7, 8, 13, 44, 0, 0, 0, 0, 0, 0, 0]",3.0,50.0,255.0,1.0,0.0
29,20100129,"[28, 35, 27, 25, 2, 50, 48, 0, 0, 0, 0, 0]",4.0,90.0,938.5714285714288,2.0,2.0
30,20100130,"[14, 5, 6, 39, 37, 44, 32, 26, 0, 0, 0, 0]",5.0,130.0,836.875,0.0,1.0
31,20100131,"[16, 5, 6, 34, 47, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,372.0,1.0,1.0
32,20100201,"[50, 48, 43, 42, 41, 4, 10, 11, 12, 23, 0, 0]",3.0,90.0,601.3636363636363,2.0,0.0
33,20100202,"[20, 19, 46, 41, 4, 10, 11, 12, 23, 0, 0, 0]",1.0,75.0,401.25,2.0,2.0
34,20100203,"[24, 32, 37, 26, 15, 45, 0, 0, 0, 0, 0, 0]",4.0,90.0,615.0,2.0,1.0
35,20100204,"[50, 48, 43, 42, 40, 35, 27, 25, 23, 2, 36, 0]",3.0,110.0,1030.0,1.0,1.0
36,20100205,"[49, 24, 29, 23, 28, 25, 35, 27, 0, 0, 0, 0]",3.0,80.0,820.0,1.0,1.0
37,20100206,"[22, 13, 39, 37, 44, 16, 5, 6, 0, 0, 0, 0]",2.0,45.0,267.1875,0.0,0.0
38,20100207,"[28, 35, 27, 25, 2, 50, 48, 0, 0, 0, 0, 0]",4.0,90.0,938.5714285714288,2.0,2.0
39,20100208,"[20, 19, 46, 41, 4, 10, 11, 12, 23, 0, 0, 0]",1.0,60.0,321.0,2.0,2.0
40,20100209,"[31, 20, 19, 46, 22, 2, 0, 0, 0, 0, 0, 0]",2.0,60.0,280.0,0.0,1.0
41,20100210,"[1, 7, 8, 13, 44, 0, 0, 0, 0, 0, 0, 0]",4.0,90.0,459.0,2.0,2.0
42,20100211,"[50, 48, 43, 42, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,435.0,1.0,1.0
43,20100212,"[28, 29, 35, 24, 2, 0, 0, 0, 0, 0, 0, 0]",5.0,120.0,1320.0,2.0,2.0
44,20100213,"[14, 44, 7, 8, 5, 0, 0, 0, 0, 0, 0, 0]",4.0,75.0,405.0,1.0,2.0
45,20100214,"[33, 31, 32, 34, 22, 0, 0, 0, 0, 0, 0, 0]",3.0,90.0,306.0,0.0,1.0
46,20100215,"[13, 39, 37, 44, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,270.0,2.0,2.0
47,20100216,"[6, 15, 45, 5, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,337.5,1.0,1.0
48,20100217,"[23, 28, 25, 27, 2, 0, 0, 0, 0, 0, 0, 0]",5.0,90.0,927.0,2.0,2.0
49,20100218,"[24, 32, 37, 26, 15, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,444.0,1.0,0.0
50,20100219,"[4, 9, 43, 10, 11, 12, 0, 0, 0, 0, 0, 0]",4.0,90.0,502.5,2.0,1.0
51,20100220,"[30, 24, 29, 35, 27, 0, 0, 0, 0, 0, 0, 0]",5.0,120.0,1260.0,2.0,2.0
52,20100221,"[1, 7, 8, 13, 44, 0, 0, 0, 0, 0, 0, 0]",4.0,90.0,459.0,2.0,2.0
53,20100222,"[48, 43, 42, 12, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,45.0,298.125,1.0,1.0
54,20100223,"[34, 33, 31, 32, 24, 0, 0, 0, 0, 0, 0, 0]",3.0,90.0,396.0,1.0,1.0
55,20100224,"[24, 47, 44, 20, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,50.0,318.75,1.0,1.0
56,20100225,"[4, 3, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0]",2.0,80.0,472.0,0.0,1.0
57,20100226,"[30, 24, 29, 23, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,90.0,922.5,2.0,2.0
58,20100227,"[22, 1, 44, 15, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,40.0,170.0,1.0,1.0
59,20100228,"[8, 13, 39, 37, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,60.0,360.0,0.0,0.0
60,20100301,"[24, 32, 37, 26, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,100.0,825.0,2.0,2.0
61,20100302,"[6, 15, 45, 5, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,337.5,1.0,1.0
62,20100303,"[50, 48, 43, 23, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,70.0,595.0,2.0,1.0
63,20100304,"[28, 25, 35, 27, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,120.0,1290.0,2.0,2.0
64,20100305,"[47, 44, 14, 20, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,307.5,1.0,1.0
65,20100306,"[7, 8, 6, 13, 44, 0, 0, 0, 0, 0, 0, 0]",2.0,70.0,413.0,0.0,0.0
66,20100307,"[31, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,80.0,260.0,2.0,1.0
67,20100308,"[2, 23, 50, 48, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,90.0,900.0,2.0,2.0
68,20100309,"[1, 7, 8, 13, 44, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,306.0,1.0,1.0
69,20100310,"[24, 32, 37, 26, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,100.0,825.0,2.0,2.0
70,20100311,"[23, 29, 9, 8, 5, 0, 0, 0, 0, 0, 0, 0]",3.0,75.0,570.0,1.0,1.0
71,20100312,"[22, 32, 15, 45, 20, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,222.0,2.0,2.0
72,20100313,"[28, 24, 44, 8, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,90.0,708.75,2.0,2.0
73,20100314,"[13, 1, 8, 39, 20, 0, 0, 0, 0, 0, 0, 0]",2.0,40.0,164.0,1.0,0.0
74,20100315,"[31, 20, 46, 23, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,285.0,1.0,1.0
75,20100316,"[36, 13, 48, 2, 20, 0, 0, 0, 0, 0, 0, 0]",4.0,75.0,562.5,2.0,1.0
76,20100317,"[24, 32, 37, 26, 45, 0, 0, 0, 0, 0, 0, 0]",4.0,80.0,592.0,0.0,2.0
77,20100318,"[29, 26, 23, 25, 2, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,600.0,1.0,1.0
78,20100319,"[30, 47, 13, 39, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,337.5,2.0,0.0
79,20100320,"[5, 6, 15, 45, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,45.0,253.125,2.0,2.0
80,20100321,"[23, 29, 9, 8, 5, 0, 0, 0, 0, 0, 0, 0]",3.0,75.0,570.0,1.0,1.0
81,20100322,"[22, 32, 15, 45, 20, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,222.0,2.0,2.0
82,20100323,"[28, 24, 44, 8, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,90.0,708.75,2.0,2.0
83,20100324,"[13, 1, 8, 39, 20, 0, 0, 0, 0, 0, 0, 0]",2.0,40.0,164.0,1.0,0.0
84,20100325,"[24, 23, 25, 44, 3, 0, 0, 0, 0, 0, 0, 0]",3.0,75.0,622.5,2.0,1.0
85,20100326,"[33, 31, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,60.0,180.0,2.0,0.0
86,20100327,"[2, 26, 28, 27, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,90.0,956.25,1.0,2.0
87,20100328,"[4, 10, 11, 12, 24, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,372.0,1.0,1.0
88,20100329,"[1, 15, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,208.125,0.0,0.0
89,20100330,"[30, 49, 29, 9, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,120.0,1155.0,2.0,2.0
90,20100331,"[50, 43, 2, 44, 39, 0, 0, 0, 0, 0, 0, 0]",3.0,70.0,490.0,1.0,0.0
91,20100401,"[3, 8, 7, 21, 45, 0, 0, 0, 0, 0, 0, 0]",2.0,50.0,280.0,0.0,1.0
92,20100402,"[24, 27, 6, 34, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,45.0,320.625,1.0,1.0
93,20100403,"[5, 44, 16, 13, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,80.0,430.0,2.0,2.0
94,20100404,"[22, 32, 31, 20, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,50.0,181.25,2.0,0.0
95,20100405,"[28, 25, 26, 29, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,100.0,1037.5,1.0,2.0
96,20100406,"[48, 44, 39, 37, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,420.0,0.0,1.0
97,20100407,"[42, 11, 12, 23, 4, 0, 0, 0, 0, 0, 0, 0]",3.0,80.0,528.0,1.0,2.0
98,20100408,"[45, 5, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,40.0,185.0,0.0,0.0
99,20100409,"[24, 44, 20, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,50.0,343.75,1.0,1.0
100,20100410,"[30, 31, 23, 44, 43, 0, 0, 0, 0, 0, 0, 0]",5.0,120.0,864.0,2.0,2.0
101,20100411,"[50, 48, 29, 22, 44, 0, 0, 0, 0, 0, 0, 0]",4.0,80.0,608.0,0.0,1.0
102,20100412,"[1, 7, 8, 44, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,230.625,2.0,0.0
103,20100413,"[3, 21, 22, 12, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,360.0,1.0,1.0
104,20100414,"[24, 20, 19, 46, 2, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,348.0,2.0,2.0
105,20100415,"[4, 9, 11, 43, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,330.0,1.0,0.0
106,20100416,"[14, 5, 44, 2, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,397.5,2.0,2.0
107,20100417,"[33, 31, 30, 26, 23, 0, 0, 0, 0, 0, 0, 0]",5.0,90.0,693.0,1.0,1.0
108,20100418,"[47, 44, 14, 20, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,50.0,256.25,0.0,1.0
109,20100419,"[2, 24, 44, 20, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,60.0,412.5,2.0,2.0
110,20100420,"[1, 7, 8, 13, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,230.625,1.0,0.0
111,20100421,"[50, 48, 29, 22, 44, 0, 0, 0, 0, 0, 0, 0]",4.0,80.0,608.0,2.0,1.0
112,20100422,"[4, 9, 11, 43, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,60.0,330.0,1.0,0.0
113,20100423,"[24, 44, 20, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,50.0,343.75,0.0,1.0
114,20100424,"[44, 15, 45, 8, 1, 0, 0, 0, 0, 0, 0, 0]",3.0,75.0,330.0,1.0,1.0
115,20100425,"[3, 23, 43, 11, 10, 4, 0, 0, 0, 0, 0, 0]",4.0,100.0,633.3333333333335,2.0,2.0
116,20100426,"[33, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,90.0,292.5,1.0,1.0
117,20100427,"[5, 6, 15, 45, 1, 0, 0, 0, 0, 0, 0, 0]",4.0,80.0,424.0,0.0,1.0
118,20100428,"[14, 1, 15, 45, 8, 0, 0, 0, 0, 0, 0, 0]",2.0,60.0,252.0,2.0,0.0
119,20100429,"[24, 32, 37, 26, 15, 45, 0, 0, 0, 0, 0, 0]",4.0,130.0,888.3333333333335,1.0,2.0
120,20100430,"[23, 28, 25, 35, 50, 0, 0, 0, 0, 0, 0, 0]",3.0,90.0,972.0,0.0,2.0
121,20100501,"[43, 11, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,45.0,219.375,0.0,1.0
122,20100502,"[13, 39, 37, 44, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,65.0,390.0,2.0,1.0
