id,date,excercise_list,workout_fun_factor,duration,cals_burnt,mood,activeness
1,20100101,pull_up lat_pulldown push_up dumbbell_row push_press,3.0,60.0,354.0,1.0,1.0
2,20100102,swimming jump_rope elliptical jumping_jacks cycling squat_jump running high_knees,5.0,110.0,1134.375,1.0,2.0
3,20100103,box_jumps wall_balls lateral_lunges bulgarian_split_squat       ,4.0,70.0,507.5,2.0,2.0
4,20100104,bicep_curl pull_up lat_pulldown dumbbell_row medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes,2.0,60.0,366.66666666666674,0.0,1.0
5,20100105,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3.0,40.0,204.0,2.0,0.0
6,20100106,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips jumping_jacks bird_dog,4.0,140.0,945.0,2.0,1.0
7,20100107,pilates battle_ropes push_press tricep_extension tricep_dips bench_press push_up,5.0,90.0,533.5714285714287,1.0,2.0
8,20100108,bird_dog dumbbell_row battle_ropes farmers_walk push_press shoulder_press bench_press,2.0,35.0,197.5,0.0,0.0
9,20100109,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4.0,150.0,1025.0,2.0,0.0
10,20100110,medicine_ball_slam pull_up dumbbell_row farmers_walk battle_ropes yoga,3.0,90.0,577.5,2.0,1.0
11,20100111,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat leg_press lateral_lunges leg_extension leg_curl lunge squat_jump,3.0,120.0,850.0,1.0,1.0
12,20100112,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,5.0,70.0,434.0,1.0,2.0
13,20100113,deadlift superman lat_pulldown pull_up ,1.0,60.0,360.0,2.0,2.0
14,20100114,mountain_climbers box_jumps burpee cycling squat_jump running high_knees,4.0,110.0,1123.5714285714284,0.0,2.0
15,20100115,shoulder_press bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,5.0,150.0,984.375,1.0,1.0
16,20100116,dumbbell_row farmers_walk battle_ropes push_press,2.0,45.0,270.0,2.0,2.0
17,20100117,yoga,3.0,45.0,180.0,2.0,2.0
18,20100118,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers  high_knees squat_jump burpee  rowing_machine    ,3.0,100.0,936.3636363636364,0.0,0.0
19,20100119,crunches plank russian_twist side_plank bird_dog burpee,1.0,35.0,163.33333333333331,1.0,1.0
20,20100120,foam_rolling tai_chi medicine_ball_slam pilates bicep_curl,2.0,120.0,528.0,0.0,2.0
21,20100121,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4.0,100.0,683.3333333333333,2.0,1.0
22,20100122,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat lunges leg_extension leg_curl lunge squat_jump,4.0,120.0,801.8181818181819,0.0,2.0
23,20100123,elliptical jumping_jacks cycling squat_jump running high_knees stair_climbing mountain_climbers,3.0,80.0,820.0,1.0,1.0
24,20100124,bird_dog dumbbell_row farmers_walk battle_ropes push_press shoulder_press bench_press push_up,2.0,45.0,267.1875,0.0,0.0
25,20100125,plank russian_twist side_plank kettlebell_swing squat lunges leg_extension leg_curl lunge squat_jump,1.0,60.0,321.0,2.0,2.0
26,20100126,yoga,4.0,60.0,240.0,1.0,1.0
27,20100127,deadlift superman lat_pulldown pull_up,2.0,75.0,450.0,2.0,2.0
28,20100128,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3.0,50.0,255.0,1.0,0.0
29,20100129,running stair_climbing mountain_climbers high_knees burpee box_jumps wall_balls,4.0,90.0,938.5714285714287,2.0,2.0
30,20100130,dumbbell_fly bench_press push_up farmers_walk battle_ropes push_press pilates jump_rope,5.0,130.0,836.875,0.0,1.0
31,20100131,shoulder_press bench_press push_up foam_rolling medicine_ball_slam,4.0,60.0,372.0,1.0,1.0
32,20100201,box_jumps wall_balls lateral_lunges bulgarian_split_squat kettlebell_swing squat lunges leg_extension leg_curl lunge squat_jump,3.0,90.0,601.3636363636363,2.0,0.0
33,20100202,plank russian_twist side_plank kettlebell_swing squat lunges leg_extension leg_curl lunge squat_jump,1.0,75.0,401.25,2.0,2.0
34,20100203,jumping_jacks pilates battle_ropes jump_rope tricep_extension tricep_dips,4.0,90.0,615.0,2.0,1.0
35,20100204,box_jumps wall_balls lateral_lunges bulgarian_split_squat tire_flips stair_climbing mountain_climbers high_knees squat_jump burpee rowing_machine,3.0,110.0,1030.0,1.0,1.0
36,20100205,elliptical jumping_jacks cycling squat_jump running high_knees stair_climbing mountain_climbers,3.0,80.0,820.0,1.0,1.0
37,20100206,bird_dog dumbbell_row farmers_walk battle_ropes push_press shoulder_press bench_press push_up,2.0,45.0,267.1875,0.0,0.0
38,20100207,running stair_climbing mountain_climbers high_knees burpee box_jumps wall_balls,4.0,90.0,938.5714285714287,2.0,2.0
39,20100208,plank russian_twist side_plank kettlebell_swing squat lunges leg_extension leg_curl lunge squat_jump,1.0,60.0,321.0,2.0,2.0
40,20100209,yoga plank russian_twist side_plank bird_dog burpee,2.0,60.0,280.0,0.0,1.0
41,20100210,bicep_curl pull_up lat_pulldown dumbbell_row push_press,4.0,90.0,459.0,2.0,2.0
42,20100211,box_jumps wall_balls lateral_lunges bulgarian_split_squat,3.0,60.0,435.0,1.0,1.0
43,20100212,running cycling stair_climbing jumping_jacks burpee,5.0,120.0,1320.0,2.0,2.0
44,20100213,dumbbell_fly push_press pull_up lat_pulldown bench_press,4.0,75.0,405.0,1.0,2.0
45,20100214,tai_chi yoga pilates foam_rolling bird_dog,3.0,90.0,306.0,0.0,1.0
46,20100215,dumbbell_row farmers_walk battle_ropes push_press,2.0,45.0,270.0,2.0,2.0
47,20100216,push_up tricep_extension tricep_dips bench_press,4.0,60.0,337.5,1.0,1.0
48,20100217,squat_jump running high_knees mountain_climbers burpee,5.0,90.0,927.0,2.0,2.0
49,20100218,jumping_jacks pilates battle_ropes jump_rope tricep_extension,3.0,60.0,444.0,1.0,0.0
50,20100219,squat leg_press lateral_lunges leg_extension leg_curl lunge,4.0,90.0,502.5,2.0,1.0
51,20100220,swimming jumping_jacks cycling stair_climbing mountain_climbers,5.0,120.0,1260.0,2.0,2.0
52,20100221,bicep_curl pull_up lat_pulldown dumbbell_row push_press,4.0,90.0,459.0,2.0,2.0
53,20100222,wall_balls lateral_lunges bulgarian_split_squat lunge,3.0,45.0,298.125,1.0,1.0
54,20100223,foam_rolling tai_chi yoga pilates jumping_jacks,3.0,90.0,396.0,1.0,1.0
55,20100224,jumping_jacks medicine_ball_slam push_press plank,3.0,50.0,318.75,1.0,1.0
56,20100225,squat deadlift leg_press leg_extension leg_curl,2.0,80.0,472.0,0.0,1.0
57,20100226,swimming jumping_jacks cycling squat_jump,4.0,90.0,922.5,2.0,2.0
58,20100227,bird_dog bicep_curl push_press tricep_extension,3.0,40.0,170.0,1.0,1.0
59,20100228,lat_pulldown dumbbell_row farmers_walk battle_ropes,2.0,60.0,360.0,0.0,0.0
60,20100301,jumping_jacks pilates battle_ropes jump_rope,4.0,100.0,825.0,2.0,2.0
61,20100302,push_up tricep_extension tricep_dips bench_press,3.0,60.0,337.5,1.0,1.0
62,20100303,box_jumps wall_balls lateral_lunges squat_jump,4.0,70.0,595.0,2.0,1.0
63,20100304,running high_knees stair_climbing mountain_climbers,5.0,120.0,1290.0,2.0,2.0
64,20100305,medicine_ball_slam push_press dumbbell_fly plank,3.0,60.0,307.5,1.0,1.0
65,20100306,pull_up lat_pulldown push_up dumbbell_row push_press,2.0,70.0,413.0,0.0,0.0
66,20100307,yoga tai_chi,4.0,80.0,260.0,2.0,1.0
67,20100308,burpee squat_jump box_jumps wall_balls,5.0,90.0,900.0,2.0,2.0
68,20100309,bicep_curl pull_up lat_pulldown dumbbell_row push_press,3.0,60.0,306.0,1.0,1.0
69,20100310,jumping_jacks pilates battle_ropes jump_rope,4.0,100.0,825.0,2.0,2.0
70,20100311,squat_jump cycling leg_press lat_pulldown bench_press,3.0,75.0,570.0,1.0,1.0
71,20100312,bird_dog pilates tricep_extension tricep_dips plank,4.0,60.0,222.0,2.0,2.0
72,20100313,running jumping_jacks push_press lat_pulldown,5.0,90.0,708.75,2.0,2.0
73,20100314,dumbbell_row bicep_curl lat_pulldown farmers_walk plank,2.0,40.0,164.0,1.0,0.0
74,20100315,yoga plank side_plank squat_jump,3.0,60.0,285.0,1.0,1.0
